"","Country_Region","Population","Date","ConfirmedCountry","DeathCountry","RecoveredCountry","newRecovered","newConfirmed","newDeath","overalldeath_rec_rat","newdeath_rec_rat","mean_7","death_7","mean_3","death_3"
"1","Spain",46940000,2020-02-01,8,0,0,0,8,0,NA,NA,NA,NA,NA,NA
"2","Spain",46940000,2020-02-09,12,0,0,0,4,0,NA,NA,NA,NA,NA,NA
"3","Spain",46940000,2020-02-15,20,0,20,20,8,0,0,0,NA,NA,20,0
"4","Spain",46940000,2020-02-26,13,0,2,0,7,0,0,NA,NA,NA,19,0
"5","Spain",46940000,2020-02-27,15,0,2,0,2,0,0,NA,NA,NA,17,0
"6","Spain",46940000,2020-02-28,32,0,2,0,17,0,0,NA,NA,NA,26,0
"7","Spain",46940000,2020-02-29,45,0,2,0,13,0,0,NA,59,0,32,0
"8","Spain",46940000,2020-03-01,84,0,2,0,39,0,0,NA,90,0,69,0
"9","Spain",46940000,2020-03-02,120,0,2,0,36,0,0,NA,122,0,88,0
"10","Spain",46940000,2020-03-03,165,1,2,0,45,1,0.5,Inf,159,1,120,1
"11","Spain",46940000,2020-03-04,222,2,2,0,57,1,1,Inf,209,2,138,2
"12","Spain",46940000,2020-03-05,259,3,2,0,37,1,1.5,Inf,244,3,139,3
"13","Spain",46940000,2020-03-06,400,5,2,0,141,2,2.5,Inf,368,5,235,4
"14","Spain",46940000,2020-03-07,500,10,30,28,100,5,0.333333333333333,0.178571428571429,455,10,278,8
"15","Spain",46940000,2020-03-08,673,17,30,0,173,7,0.566666666666667,Inf,589,17,414,14
"16","Spain",46940000,2020-03-09,1073,28,32,2,400,11,0.875,5.5,953,28,673,23
"17","Spain",46940000,2020-03-10,1695,35,32,0,622,7,1.09375,Inf,1530,34,1195,25
"18","Spain",46940000,2020-03-11,7509,187,376,344,5814,152,0.497340425531915,0.441860465116279,7287,185,6836,170
"19","Spain",46940000,2020-03-14,6391,195,517,334,4114,140,0.377176015473888,0.419161676646707,11364,324,10550,299
"20","Spain",46940000,2020-03-15,7798,289,517,0,1407,94,0.55899419729207,Inf,12630,416,11335,386
"21","Spain",46940000,2020-03-16,9942,342,530,13,2144,53,0.645283018867924,4.07692307692308,14674,464,7665,287
"22","Spain",46940000,2020-03-17,11748,533,1028,498,1806,191,0.518482490272374,0.383534136546185,16307,648,5357,338
